position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Mario Kart 8,WiiU,Nintendo  ,Nintendo  ,N/A  ,8.8  ,N/A  ,8.45m,N/A,N/A,N/A,N/A,N/A,30th May 14  ,02nd Aug 20
2,Super Mario 3D World,WiiU,Nintendo  ,Nintendo EAD Tokyo  ,N/A  ,9.5  ,N/A  ,5.86m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,02nd Jan 18
3,New Super Mario Bros. U,WiiU,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,5.81m,N/A,N/A,N/A,N/A,N/A,18th Nov 12  ,02nd Aug 20
4,Super Smash Bros. for Wii U,WiiU,Nintendo  ,Bandai Namco Games  ,N/A  ,9.2  ,N/A  ,5.38m,N/A,N/A,N/A,N/A,N/A,21st Nov 14  ,12th Apr 18
5,Nintendo Land,WiiU,Nintendo  ,Nintendo  ,N/A  ,7.5  ,N/A  ,5.20m,N/A,N/A,N/A,N/A,N/A,18th Nov 12  ,25th Aug 20
6,Splatoon,WiiU,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,4.95m,N/A,N/A,N/A,N/A,N/A,29th May 15  ,03rd Aug 20
7,Super Mario Maker,WiiU,Nintendo  ,Nintendo EAD  ,N/A  ,8.8  ,N/A  ,4.02m,N/A,N/A,N/A,N/A,N/A,11th Sep 15  ,29th Mar 18
8,New Super Luigi U,WiiU,Nintendo  ,Nintendo  ,N/A  ,7.8  ,N/A  ,3.06m,N/A,N/A,N/A,N/A,N/A,25th Aug 13  ,24th Jan 18
9,The Legend of Zelda: The Wind Waker,WiiU,Nintendo  ,Nintendo EAD  ,N/A  ,9.3  ,N/A  ,2.33m,N/A,N/A,N/A,N/A,N/A,04th Oct 13  ,20th Mar 18
10,Mario Party 10,WiiU,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,6.3  ,N/A  ,2.25m,N/A,N/A,N/A,N/A,N/A,20th Mar 15  ,24th Jan 18
11,Donkey Kong Country: Tropical Freeze,WiiU,Nintendo  ,Retro Studios  ,N/A  ,8.8  ,9.1  ,2.01m,N/A,N/A,N/A,N/A,N/A,21st Feb 14  ,22nd Jan 18
12,Wii Party U,WiiU,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,6.6  ,N/A  ,1.78m,N/A,N/A,N/A,N/A,N/A,25th Oct 13  ,19th Nov 18
13,The Legend of Zelda: Breath of the Wild,WiiU,Nintendo  ,Nintendo EPD  ,N/A  ,10.0  ,10.0  ,1.69m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17  ,19th Nov 18
14,Yoshi's Woolly World,WiiU,Nintendo  ,Good-Feel  ,N/A  ,7.4  ,6.0  ,1.56m,N/A,N/A,N/A,N/A,N/A,16th Oct 15  ,03rd Aug 20
15,Minecraft,WiiU,Mojang  ,4J Studios  ,N/A  ,5.5  ,N/A  ,N/A,1.47m,0.50m,0.49m,0.38m,0.09m,17th Jun 16  ,05th Aug 18
16,Captain Toad: Treasure Tracker,WiiU,Nintendo  ,Nintendo EAD Tokyo  ,N/A  ,7.7  ,N/A  ,1.36m,N/A,N/A,N/A,N/A,N/A,05th Dec 14  ,04th Aug 20
17,Pikmin 3,WiiU,Nintendo  ,Nintendo EAD  ,N/A  ,8.7  ,N/A  ,1.27m,N/A,N/A,N/A,N/A,N/A,04th Aug 13  ,05th Aug 20
18,LEGO City Undercover,WiiU,Nintendo  ,TT Fusion  ,N/A  ,7.5  ,N/A  ,1.15m,N/A,N/A,N/A,N/A,N/A,18th Mar 13  ,20th Mar 18
19,The Legend of Zelda: Twilight Princess HD,WiiU,Nintendo  ,Tantalus Interactive  ,N/A  ,8.4  ,N/A  ,1.13m,N/A,N/A,N/A,N/A,N/A,04th Mar 16  ,20th Mar 18
20,Hyrule Warriors,WiiU,Nintendo  ,Omega Force  ,N/A  ,7.4  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,26th Sep 14  ,04th Aug 20
21,Pokken Tournament,WiiU,Nintendo  ,Namco Bandai Games  ,N/A  ,7.6  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,18th Mar 16  ,24th Jan 18
22,Paper Mario: Color Splash,WiiU,Nintendo  ,Intelligent Systems  ,N/A  ,7.4  ,6.4  ,N/A,0.87m,0.35m,0.37m,0.08m,0.06m,07th Oct 16  ,31st Mar 18
23,Wii Fit U,WiiU,Nintendo  ,Nintendo  ,N/A  ,7.2  ,N/A  ,N/A,0.86m,0.35m,0.24m,0.21m,0.06m,10th Jan 14  ,27th Jan 18
24,Xenoblade Chronicles X,WiiU,Nintendo  ,Monolith Soft  ,N/A  ,8.1  ,N/A  ,N/A,0.84m,0.34m,0.29m,0.15m,0.06m,04th Dec 15  ,06th Jan 18
25,ZombiU,WiiU,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,6.9  ,N/A  ,N/A,0.84m,0.35m,0.37m,0.05m,0.07m,18th Nov 12  ,02nd Aug 20
26,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,Nintendo  ,Sega Sports R&D  ,N/A  ,5.9  ,N/A  ,N/A,0.80m,0.37m,0.23m,0.14m,0.06m,15th Nov 13  ,31st Jan 18
27,Lego Marvel Super Heroes,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.76m,0.31m,0.36m,0.03m,0.06m,22nd Oct 13  ,01st Dec 18
28,Skylanders: Trap Team,WiiU,Activision  ,Toys for Bob  ,N/A  ,N/A  ,N/A  ,N/A,0.75m,0.42m,0.26m,N/A,0.07m,05th Oct 14  ,29th Jan 18
29,Just Dance 2015,WiiU,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.75m,0.40m,0.29m,N/A,0.07m,21st Oct 14  ,03rd Apr 18
30,Monster Hunter 3 Ultimate,WiiU,Capcom  ,Capcom  ,N/A  ,8.7  ,N/A  ,N/A,0.71m,0.24m,0.20m,0.22m,0.04m,19th Mar 13  ,29th Jan 18
31,Disney Infinity 2.0: Marvel Super Heroes,WiiU,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,0.70m,0.41m,0.22m,N/A,0.06m,23rd Sep 14  ,30th Jan 18
32,Rayman Legends,WiiU,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,9.5  ,N/A  ,N/A,0.68m,0.25m,0.35m,0.03m,0.05m,03rd Sep 13  ,02nd Jan 19
33,Disney Infinity,WiiU,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,7.6  ,N/A  ,N/A,0.67m,0.37m,0.24m,N/A,0.06m,18th Aug 13  ,30th Jan 18
34,The LEGO Movie Videogame,WiiU,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,N/A,0.66m,0.33m,0.24m,0.03m,0.05m,07th Feb 14  ,20th Mar 18
35,LEGO Dimensions,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.65m,0.37m,0.22m,N/A,0.06m,27th Sep 15  ,19th Mar 18
36,Just Dance 2014,WiiU,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.5  ,N/A  ,N/A,0.64m,0.34m,0.25m,N/A,0.06m,08th Oct 13  ,08th Mar 18
37,Skylanders SWAP Force,WiiU,Activision  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.61m,0.39m,0.16m,N/A,0.06m,13th Oct 13  ,20th Mar 18
38,Just Dance 2016,WiiU,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.60m,0.29m,0.25m,N/A,0.05m,20th Oct 15  ,05th Apr 18
39,Skylanders: SuperChargers,WiiU,Activision  ,Vicarious Visions  ,N/A  ,8.0  ,N/A  ,N/A,0.59m,0.32m,0.22m,N/A,0.05m,20th Sep 15  ,06th Apr 18
40,Kirby and the Rainbow Curse,WiiU,Nintendo  ,HAL Laboratory  ,N/A  ,8.2  ,N/A  ,N/A,0.58m,0.26m,0.14m,0.13m,0.04m,20th Feb 15  ,20th Mar 18
41,LEGO Jurassic World,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.57m,0.29m,0.20m,0.03m,0.05m,12th Jun 15  ,06th Apr 18
42,Disney Infinity 3.0,WiiU,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,0.55m,0.27m,0.23m,N/A,0.05m,30th Aug 15  ,20th Mar 18
43,Mario Tennis Ultra Smash,WiiU,Nintendo  ,Camelot Software Planning  ,N/A  ,6.1  ,N/A  ,N/A,0.54m,0.16m,0.20m,0.15m,0.03m,20th Nov 15  ,21st Mar 18
44,Sonic & Sega All-Stars Racing Transformed,WiiU,Sega  ,Sumo Digital  ,N/A  ,6.9  ,N/A  ,N/A,0.53m,0.19m,0.28m,0.02m,0.04m,18th Nov 12  ,14th Sep 20
45,FIFA 13,WiiU,EA Sports  ,EA Canada  ,N/A  ,7.0  ,N/A  ,N/A,0.49m,0.18m,0.28m,N/A,0.04m,18th Nov 12  ,06th Apr 18
46,Animal Crossing: Amiibo Festival,WiiU,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,4.8  ,N/A  ,N/A,0.49m,0.23m,0.12m,0.10m,0.04m,13th Nov 15  ,08th Feb 18
47,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,Nintendo  ,Sega Sports R&D  ,N/A  ,N/A  ,N/A  ,N/A,0.49m,0.10m,0.23m,0.13m,0.03m,24th Jun 16  ,05th Apr 18
48,Lego Batman 3: Beyond Gotham,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,7.4  ,N/A  ,N/A,0.45m,0.21m,0.21m,N/A,0.04m,11th Nov 14  ,01st Dec 18
49,Skylanders Imaginators,WiiU,Activision  ,Toys for Bob  ,N/A  ,N/A  ,N/A  ,N/A,0.45m,0.19m,0.22m,N/A,0.04m,16th Oct 16  ,26th Mar 18
50,Star Fox: Zero,WiiU,Nintendo  ,Nintendo EPD  ,N/A  ,6.7  ,N/A  ,N/A,0.44m,0.20m,0.12m,0.09m,0.03m,22nd Apr 16  ,18th Nov 18
51,Just Dance 2017,WiiU,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.43m,0.19m,0.21m,N/A,0.04m,25th Oct 16  ,06th Apr 18
52,Dragon Quest X,WiiU,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,0.42m,N/A,N/A,0.42m,N/A,30th Mar 13  ,22nd Apr 18
53,Call of Duty: Black Ops II,WiiU,Activision  ,Treyarch  ,N/A  ,8.6  ,N/A  ,N/A,0.42m,0.20m,0.18m,N/A,0.04m,18th Nov 12  ,05th Jan 18
54,Skylanders Giants,WiiU,Activision  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.39m,0.23m,0.13m,N/A,0.04m,18th Nov 12  ,16th Jan 18
55,Wii Sports Club,WiiU,Nintendo  ,Nintendo  ,N/A  ,6.7  ,N/A  ,N/A,0.38m,0.17m,0.14m,0.04m,0.03m,25th Jul 14  ,14th Mar 18
56,Just Dance 4,WiiU,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,0.38m,0.21m,0.14m,N/A,0.03m,18th Nov 12  ,31st Jan 18
57,Scribblenauts: Unlimited,WiiU,Warner Bros. Interactive Entertainment  ,5TH Cell  ,N/A  ,7.0  ,N/A  ,N/A,0.38m,0.25m,0.10m,N/A,0.04m,18th Nov 12  ,02nd Jan 18
58,Batman: Arkham City Armored Edition,WiiU,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,N/A  ,8.6  ,N/A  ,N/A,0.37m,0.16m,0.18m,N/A,0.03m,18th Nov 12  ,20th Apr 18
59,Sonic Lost World,WiiU,Sega  ,Sonic Team  ,N/A  ,6.0  ,N/A  ,N/A,0.37m,0.20m,0.13m,0.01m,0.03m,29th Oct 13  ,07th Apr 18
60,ESPN: Sports Connection,WiiU,Ubisoft  ,Ubisoft Barcelona  ,N/A  ,3.0  ,N/A  ,N/A,0.36m,0.20m,0.13m,N/A,0.03m,18th Nov 12  ,14th Sep 20
61,The Wonderful 101,WiiU,Nintendo  ,PlatinumGames  ,N/A  ,8.0  ,N/A  ,N/A,0.36m,0.15m,0.11m,0.08m,0.02m,15th Sep 13  ,14th Mar 18
62,Assassin's Creed III,WiiU,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.7  ,N/A  ,N/A,0.36m,0.19m,0.14m,N/A,0.03m,18th Nov 12  ,08th Sep 20
63,Call of Duty: Ghosts,WiiU,Activision  ,Infinity Ward  ,N/A  ,8.8  ,N/A  ,N/A,0.35m,0.22m,0.09m,0.01m,0.03m,05th Nov 13  ,21st Mar 18
64,Tokyo Mirage Sessions #FE,WiiU,Nintendo  ,Atlus  ,N/A  ,8.0  ,N/A  ,N/A,0.33m,0.17m,0.06m,0.08m,0.02m,24th Jun 16  ,23rd Jul 20
65,LEGO Marvel's Avengers,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.15m,0.14m,0.01m,0.03m,26th Jan 16  ,06th Apr 18
66,Batman: Arkham Origins,WiiU,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.32m,0.19m,0.10m,0.00m,0.03m,25th Oct 13  ,13th Apr 18
67,Sonic Boom: Rise of Lyric,WiiU,Sega  ,Big Red Button  ,N/A  ,3.7  ,N/A  ,N/A,0.31m,0.19m,0.09m,N/A,0.03m,11th Nov 14  ,22nd Mar 18
68,Sing Party,WiiU,Nintendo  ,FreeStyleGames  ,N/A  ,6.8  ,N/A  ,N/A,0.30m,0.15m,0.13m,N/A,0.03m,18th Nov 12  ,08th Sep 20
69,Shovel Knight,WiiU,Yacht Club Games  ,Yacht Club Games  ,N/A  ,9.0  ,N/A  ,0.30m,N/A,N/A,N/A,N/A,N/A,26th Jun 14  ,21st Nov 18
70,Lego Star Wars: The Force Awakens,WiiU,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.12m,0.13m,0.02m,0.02m,28th Jun 16  ,31st Mar 18
71,NES Remix,WiiU,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,0.29m,0.18m,N/A,0.09m,0.02m,18th Dec 13  ,28th Aug 18
72,Assassin's Creed IV: Black Flag,WiiU,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.5  ,N/A  ,N/A,0.29m,0.17m,0.10m,N/A,0.03m,29th Oct 13  ,14th Mar 18
73,Need for Speed: Most Wanted (2012),WiiU,Electronic Arts  ,Criterion Games  ,N/A  ,8.4  ,N/A  ,N/A,0.28m,0.13m,0.13m,N/A,0.02m,19th Mar 13  ,19th Dec 18
74,Bayonetta 2,WiiU,Nintendo  ,PlatinumGames  ,N/A  ,9.3  ,N/A  ,0.28m,N/A,N/A,N/A,N/A,N/A,24th Oct 14  ,20th Mar 18
75,Mass Effect 3,WiiU,Electronic Arts  ,BioWare  ,N/A  ,9.2  ,N/A  ,N/A,0.28m,0.14m,0.12m,N/A,0.02m,18th Nov 12  ,09th Jan 18
76,Guitar Hero Live,WiiU,Activision  ,FreeStyleGames  ,N/A  ,N/A  ,N/A  ,N/A,0.27m,0.18m,0.06m,N/A,0.03m,20th Oct 15  ,15th Mar 18
77,Game & Wario,WiiU,Nintendo  ,Intelligent Systems  ,N/A  ,6.2  ,N/A  ,N/A,0.25m,0.06m,0.06m,0.12m,0.01m,23rd Jun 13  ,15th Mar 18
78,Disney Epic Mickey 2: The Power of Two,WiiU,Disney Interactive Studios  ,Junction Point Studios  ,N/A  ,5.9  ,N/A  ,N/A,0.24m,0.13m,0.08m,0.01m,0.02m,18th Nov 12  ,13th Sep 20
79,Madden NFL 13,WiiU,EA Sports  ,EA Tiburon  ,N/A  ,7.2  ,N/A  ,N/A,0.23m,0.21m,N/A,N/A,0.02m,18th Nov 12  ,04th Jan 18
80,LEGO The Hobbit,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.23m,0.09m,0.11m,N/A,0.02m,08th Apr 14  ,15th Mar 18
81,Resident Evil: Revelations,WiiU,Capcom  ,Capcom  ,N/A  ,7.5  ,N/A  ,N/A,0.22m,0.09m,0.08m,0.03m,0.02m,21st May 13  ,16th Mar 18
82,Disney's Planes,WiiU,Disney Interactive Studios  ,Behaviour Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.21m,0.14m,0.04m,N/A,0.02m,06th Aug 13  ,15th Mar 18
83,Injustice: Gods Among Us,WiiU,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.09m,0.09m,0.00m,0.02m,16th Apr 13  ,22nd Apr 18
84,Taiko no Tatsujin: Wii U Version!,WiiU,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,N/A,N/A,0.19m,N/A,21st Nov 13  ,18th Sep 18
85,Tekken Tag Tournament 2,WiiU,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,8.1  ,N/A  ,N/A,0.19m,0.09m,0.07m,0.01m,0.01m,18th Nov 12  ,21st Apr 18
86,Ninja Gaiden 3: Razor's Edge,WiiU,Nintendo  ,Team Ninja  ,N/A  ,6.5  ,N/A  ,N/A,0.19m,0.14m,0.03m,N/A,0.02m,18th Nov 12  ,25th Aug 20
87,Just Dance 2018,WiiU,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.07m,0.09m,N/A,0.01m,24th Oct 17  ,06th Apr 18
88,Darksiders II,WiiU,THQ  ,Vigil Games  ,N/A  ,8.2  ,N/A  ,N/A,0.16m,0.07m,0.07m,N/A,0.01m,18th Nov 12  ,14th Mar 18
89,Your Shape Fitness Evolved 2013,WiiU,Ubisoft  ,Blue Byte  ,N/A  ,N/A  ,N/A  ,N/A,0.15m,0.07m,0.07m,N/A,0.01m,18th Nov 12  ,13th Sep 20
90,Rodea the Sky Soldier,WiiU,NIS America  ,Kadokawa Games  ,N/A  ,7.0  ,N/A  ,N/A,0.14m,0.10m,0.02m,0.01m,0.01m,10th Nov 15  ,06th Apr 18
91,NBA 2K13,WiiU,2K Sports  ,Visual Concepts  ,N/A  ,7.6  ,N/A  ,N/A,0.14m,0.08m,0.04m,N/A,0.01m,18th Nov 12  ,04th Jan 18
92,Transformers: Prime,WiiU,Activision  ,Now Production  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.09m,0.03m,N/A,0.01m,18th Nov 12  ,06th Jan 19
93,Game Party Champions,WiiU,Warner Bros. Interactive Entertainment  ,Phosphor Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.09m,0.03m,N/A,0.01m,18th Nov 12  ,08th Sep 20
94,Watch Dogs,WiiU,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.07m,0.05m,N/A,0.01m,18th Nov 14  ,15th Mar 18
95,WipeOut 3 The Game,WiiU,Activision  ,Behaviour Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.13m,0.11m,N/A,N/A,0.01m,18th Nov 12  ,16th Mar 18
96,007 Legends,WiiU,Activision  ,Eurocom  ,N/A  ,4.2  ,N/A  ,N/A,0.13m,0.06m,0.06m,N/A,0.01m,11th Dec 12  ,16th Mar 18
97,Tom Clancy's Splinter Cell: Blacklist,WiiU,Ubisoft  ,Ubisoft Shanghai  ,N/A  ,9.2  ,N/A  ,N/A,0.13m,0.04m,0.07m,N/A,0.01m,20th Aug 13  ,08th Mar 18
98,Taiko Drum Master: Tokumori!,WiiU,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,20th Nov 14  ,N/A
99,The Voice,WiiU,Activision  ,Zoe Mode  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.11m,0.00m,N/A,0.01m,21st Oct 14  ,16th Mar 18
100,Marvel Avengers: Battle for Earth,WiiU,Ubisoft  ,Ubisoft Quebec  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.06m,0.05m,N/A,0.01m,04th Dec 12  ,01st Jan 18
101,LEGO Batman 2: DC Super Heroes,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.04m,0.07m,N/A,0.01m,21st May 13  ,15th Mar 18
102,Fatal Frame: Maiden of Black Water,WiiU,Nintendo  ,Koei Tecmo Games  ,N/A  ,N/A  ,5.8  ,N/A,0.12m,N/A,0.03m,0.09m,0.00m,22nd Oct 15  ,01st Jan 18
103,The Walking Dead: Survival Instinct,WiiU,Activision  ,Terminal Reality  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.08m,0.03m,N/A,0.01m,19th Mar 13  ,16th Jan 18
104,Deus Ex: Human Revolution,WiiU,Square Enix  ,Eidos Interactive  ,N/A  ,8.6  ,N/A  ,N/A,0.11m,0.05m,0.05m,N/A,0.01m,22nd Oct 13  ,16th Mar 18
105,Scribblenauts Unmasked: A DC Comics Adventure,WiiU,Warner Bros. Interactive Entertainment  ,5TH Cell  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.09m,N/A,N/A,0.01m,24th Sep 13  ,03rd Apr 18
106,Just Dance 2019,WiiU,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.06m,0.03m,N/A,0.01m,23rd Oct 18  ,28th Sep 18
107,Angry Birds: Star Wars,WiiU,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.05m,0.04m,N/A,0.01m,29th Oct 13  ,16th Mar 18
108,The Smurfs 2,WiiU,Ubisoft  ,Way Forward  ,N/A  ,N/A  ,N/A  ,N/A,0.10m,0.05m,0.04m,N/A,0.01m,23rd Jul 13  ,17th Mar 18
109,Just Dance Wii U,WiiU,Nintendo  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.09m,N/A,N/A,0.09m,N/A,03rd Apr 14  ,N/A
110,The Amazing Spider-Man (2012),WiiU,Activision  ,Beenox  ,N/A  ,6.0  ,N/A  ,N/A,0.09m,0.05m,0.04m,N/A,0.01m,05th Mar 13  ,15th Mar 18
111,Just Dance: Disney Party 2,WiiU,Ubisoft  ,Ubisoft San Francisco  ,N/A  ,N/A  ,N/A  ,N/A,0.09m,0.07m,0.01m,N/A,0.01m,20th Oct 15  ,07th Apr 18
112,How to Train Your Dragon 2,WiiU,Little Orbit  ,Torus Games  ,N/A  ,N/A  ,N/A  ,N/A,0.08m,0.03m,0.05m,N/A,0.01m,10th Jun 14  ,17th Mar 18
113,Warriors Orochi 3 Hyper,WiiU,Tecmo Koei  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,0.08m,0.04m,0.03m,0.02m,0.01m,18th Nov 12  ,13th Sep 20
114,Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.08m,N/A,N/A,0.08m,N/A,26th Nov 15  ,08th Apr 18
115,Legend of Kay Anniversary,WiiU,Nordic Games  ,Neon Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.05m,0.02m,N/A,0.01m,29th May 15  ,11th Sep 18
116,Adventure Time: Finn & Jake Investigations,WiiU,Little Orbit  ,Vicious Cycle  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.04m,0.02m,N/A,0.01m,20th Oct 15  ,17th Mar 18
117,DuckTales: Remastered,WiiU,Capcom  ,WayForward  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.06m,N/A,N/A,0.01m,12th Nov 13  ,17th Feb 19
118,Tank! Tank! Tank!,WiiU,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,4.7  ,N/A  ,N/A,0.07m,0.02m,0.01m,0.05m,0.00m,18th Nov 12  ,18th Jan 18
119,Minecraft: Story Mode,WiiU,Mojang  ,Telltale Games  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.04m,0.03m,N/A,0.01m,13th Dec 16  ,22nd Mar 18
